id	headline	url	bias_horizontal	bias_vertical	country	source	dominant_emotion	intensity	cause	experiencer	target	cue	other_emotions	reader_emotions
22697e7a	Donald Trump’s ‘bizarre’ questions on George Washington tour	https://www.theweek.co.uk/100717/donald-trump-s-bizarre-questions-on-george-washington-tour	-10	44	UK-US	TheWeek	disgust	medium	"[[""george washington tour""]]"	[[]]	"[[""george washington""]]"	"[[""‘bizarre’""]]"	no_other_additional_emotions_are_expressed	no_i_did_not_feel_any_emotion
6c6290d6	Donations to Charities Drop After Trump Tax Law	http://www.thefiscaltimes.com/2019/06/18/Donations-Charities-Drop-After-Trump-Tax-Law	12	39	US	fiscaltimes	negative_surprise	medium	"[[""trump tax law""]]"	[[]]	"[[""trump""]]"	"[[""drop""]]"	annoyance	annoyance
24f76268	Dow books fourth straight weekly slide -- longest weekly skid since 2016	http://feeds.marketwatch.com/~r/marketwatch/realtimeheadlines/~3/hIKeEZb8XfU/quotes.asp	5	50	US	Marketwatch	negative_surprise	medium	"[[""books fourth straight weekly slide -- longest weekly skid since 2016""]]"	"[[""dow""]]"	"[[""books fourth straight weekly slide -- longest weekly skid since 2016""]]"	"[[""slide""]]"	no_other_additional_emotions_are_expressed	no_i_did_not_feel_any_emotion
29a54375	Dow takes 700-point nosedive as trade war escalates	https://www.washingtonpost.com/business/2019/05/13/dow-plunges-points-market-open-investors-fear-escalating-trade-war-threatens-economy/	-10	51	US	WP	negative_surprise	medium	"[[""trade war""]]"	"[[""dow""]]"	"[[""trade war""]]"	"[[""nosedive""]]"	annoyance	annoyance
2a24a0ba	EU chief tries to sell top job nominees to hostile lawmakers	https://www.washingtontimes.com/news/2019/jul/4/eu-chief-tries-to-sell-top-job-nominees-to-hostile/?utm_source=RSS_Feed&utm_medium=RSS	20	33	US	WT	disgust	medium	[[]]	[[]]	[[]]	[[]]	annoyance	annoyance
3ff40f2a	El Salvador’s President Says His Country — Not Trump — Is Responsible For Migrant Deaths In Rio Grande	https://dailycaller.com/2019/07/01/el-salvador-president-his-country-responsible-migrant-deaths/	24	12	US	dailycaller	sadness	medium	"[[""is responsible for migrant deaths in rio grande""]]"	"[[""el salvador’s president""]]"	"[[""responsible for migrant deaths in rio grande""]]"	"[[""responsible for migrant deaths""]]"	annoyance	annoyance
cae7119f	Elizabeth Warren Lays Out a Theory of Change at First Democratic Debate	https://theintercept.com/2019/06/27/elizabeth-warren-profile/	-23	49	US	Intercept	positive_surprise	medium	"[[""theory of change at first democratic debate"",""lays out a theory of change at first democratic debate""]]"	"[[""elizabeth warren""]]"	[[]]	"[[""lays""]]"	no_other_additional_emotions_are_expressed	no_i_did_not_feel_any_emotion
3e9874e1	Emojis That Don’t Exist but Should	https://www.vice.com/en_au/article/9kxpk7/emojis-that-dont-exist-but-should	-10	42	UK-US	Vice	positive_anticipation_including_optimism	medium	"[[""that don’t exist but should""]]"	"[[""emojis""]]"	"[[""that don’t exist but should""]]"	[[]]	annoyance	annoyance
ff6a6192	Enbridge Is Behind This Front Group Pushing the Company’s Line 3 Oil Pipeline	https://truthout.org/articles/enbridge-is-behind-this-front-group-pushing-the-companys-line-3-oil-pipeline/	-24	36	US	Truthout	positive_surprise	medium	"[[""is behind this front group pushing the company’s line 3 oil pipeline""]]"	[[]]	"[[""enbridge"",""is behind this front group pushing the company’s line 3 oil pipeline""]]"	"[[""pushing""]]"	no_other_additional_emotions_are_expressed	no_i_did_not_feel_any_emotion
069f5c51	Equal pay for women’s soccer will require equal revenue	https://hotair.com/archives/jazz-shaw/2019/07/09/equal-pay-womens-soccer-will-require-equal-revenue/			US	HotAir	negative_surprise	medium	"[[""equal pay for women’s soccer will require equal revenue""]]"	"[[""women’s soccer""]]"	"[[""equal pay for women’s soccer will require equal revenue""]]"	"[[""equal pay""]]"	no_other_additional_emotions_are_expressed	no_i_did_not_feel_any_emotion
7fec7aea	Europe failed to act after the 2003 French heatwave. We cannot ignore this one | Ruben Hallali	https://www.theguardian.com/commentisfree/2019/jul/01/europe-failed-2003-french-heatwave-record-temperatures-climate	-6	48	UK	TheGuardian	sadness	medium	"[[""act after the 2003 french""]]"	[[]]	"[[""act after the 2003 french""]]"	"[[""failed""]]"	annoyance	annoyance
cee97326	Europe’s Dream: Escaping the Dictatorship of the Dollar	https://foreignpolicy.com/2019/06/14/europes-dream-escaping-the-dictatorship-of-the-dollar/	9	45	US	ForeignPolicy	positive_anticipation_including_optimism	medium	"[[""escaping the dictatorship of the dollar""]]"	"[[""europe’s""]]"	"[[""escaping the dictatorship of the dollar"",""the dictatorship of the dollar""]]"	"[[""escaping""]]"	no_other_additional_emotions_are_expressed	no_i_did_not_feel_any_emotion
58352e6e	FBI’s Leniency Toward Border Vigilante Contrasts With Harsh Treatment of “Black Identity Extremist”	https://theintercept.com/2019/07/07/fbi-border-vigilante-black-identity-extremist/	-23	49	US	Intercept	disgust	medium	"[[""contrasts with harsh treatment of “black identity extremist”""]]"	"[[""fbi""]]"	"[[""border vigilante""]]"	"[[""leniency"",""harsh treatment""]]"	no_other_additional_emotions_are_expressed	no_i_did_not_feel_any_emotion
e94735da	Fifty Years After Stonewall, Many States Still Lack LGBTQ Protections	https://newrepublic.com/article/154311/fifty-years-stonewall-states-lack-lgbtq-protections	-19	46	UK	TNR	sadness	medium	"[[""many states still lack lgbtq protections""]]"	[[]]	"[[""many states still lack lgbtq protections""]]"	[[]]	annoyance	annoyance
aad88759	Figure linked to Trump transition charged with transporting child pornography	https://www.washingtonpost.com/world/national-security/figure-linked-to-trump-transition-charged-with-transporting-child-pornography/2019/06/03/caee8aca-862a-11e9-98c1-e945ae5db8fb_story.html	-10	51	US	WP	guilt	medium	"[[""transporting child pornography""]]"	"[[""trump""]]"	"[[""transporting child pornography""]]"	"[[""charged""]]"	no_other_additional_emotions_are_expressed	no_i_did_not_feel_any_emotion
70c615fa	Five numbers that explain US border crisis	https://www.bbc.co.uk/news/world-us-canada-47967908	-3	54	UK	BBC	sadness	medium	"[[""five numbers that explain us border crisis"",""us border crisis""]]"	[[]]	[[]]	"[[""crisis""]]"	no_other_additional_emotions_are_expressed	no_i_did_not_feel_any_emotion
4e57ce1c	Five ways to care for your scalp	https://www.theguardian.com/lifeandstyle/2019/may/19/five-ways-to-care-for-your-scalp	-6	48	UK	TheGuardian	annoyance	medium	"[[""five ways to care for your scalp""]]"	[[]]	[[]]	"[[""care""]]"	annoyance	annoyance
c53ac0f3	Former Trump associate accused of trying to launder stolen money through Trump company	https://thinkprogress.org/felix-sater-trump-business-partner-accused-laundering-stolen-money-through-trump-properties-6ffd9d4f11b9/	-13	42	US	ThinkProgress	negative_surprise	medium	"[[""accused of trying to launder stolen money through trump company""]]"	"[[""former trump associate""]]"	"[[""trump""]]"	"[[""accused""]]"	annoyance	annoyance
7461aaf4	France Is The Latest Country To Authorize Killing People Who Aren’t Dying	https://thefederalist.com/2019/07/09/france-latest-country-authorize-killing-people-arent-dying/	27	26	US	TheFederalist	disgust	medium	"[[""killing people who aren’t dying""]]"	"[[""france""]]"	"[[""killing people who aren’t dying""]]"	"[[""killing""]]"	annoyance	annoyance
eafe6d2d	Free Speech! White House Refuses to Sign New Zealand Censorship Call	https://www.newsbusters.org/blogs/techwatch/corinne-weaver/2019/05/15/free-speech-white-house-refuses-sign-new-zealand			US	NewsBusters	negative_surprise	medium	"[[""free speech! white house refuses to sign new zealand censorship call""]]"	[[]]	"[[""new zealand""]]"	"[[""refuses""]]"	no_other_additional_emotions_are_expressed	no_i_did_not_feel_any_emotion
4f0064ec	Full Coverage: The Manson murders — 50 years later	https://www.latimes.com/news/rss2.0.xml	-6	58	US	LATimes	negative_anticipation_including_pessimism	medium	"[[""full coverage: the manson murders — 50 years later""]]"	[[]]	"[[""the manson murders — 50 years later""]]"	"[[""full coverage""]]"	annoyance	annoyance
8d2835a3	Full Mueller report may have 'proof of bad deeds' and must be seen – Democrat	https://www.theguardian.com/us-news/2019/apr/14/mueller-report-release-full-democrat-nadler-trump	-6	48	UK	TheGuardian	negative_surprise	medium	"[[""proof of bad deeds' and must be seen – democrat""]]"	[[]]	"[[""proof of bad""]]"	"[[""bad""]]"	no_other_additional_emotions_are_expressed	negative_anticipation_including_pessimism
0a509fe8	Furious residents say property developer cut down forest without permission	https://www.dailymail.co.uk/news/article-6946517/Furious-residents-say-property-developer-cut-forest-without-permission.html?ns_mchannel=rss&ns_campaign=1490&ito=1490	13	19	UK	dailymail	disgust	medium	"[[""property developer cut down forest without permission""]]"	"[[""residents""]]"	"[[""property developer cut down forest without permission""]]"	"[[""furious""]]"	annoyance	annoyance
39639070	George Archer – the 1969 Masters winner who had an amazing secret | Ewan Murray	https://www.theguardian.com/sport/2019/apr/07/george-archer-1969-masters-winner-secret-golf	-6	48	UK	TheGuardian	pride	medium	"[[""the 1969 masters winner who had an amazing secret""]]"	"[[""george archer""]]"	"[[""george archer""]]"	"[[""amazing secret""]]"	no_other_additional_emotions_are_expressed	no_i_did_not_feel_any_emotion
707159d4	Getting 'California Sober' Showed Me a Kinder, Gentler Way to Do Drugs	https://www.vice.com/en_au/article/a3xvga/california-sober-quitting-drugs-alcohol-weed	-10	42	UK-US	Vice	positive_surprise	medium	"[[""showed me a kinder, gentler way to do drugs""]]"	[[]]	"[[""showed me a kinder, gentler way to do drugs""]]"	"[[""do drugs""]]"	annoyance	annoyance
5484000d	Giving Birth in the Wake of a Storm	https://www.newyorker.com/culture/photo-booth/giving-birth-in-the-wake-of-a-storm	-9	47	US	TheNewYorker	positive_surprise	medium	"[[""giving birth in the wake of a storm""]]"	[[]]	"[[""in the wake of a storm""]]"	"[[""giving birth in the wake of a storm""]]"	annoyance	annoyance
cda37d3d	Gold futures move up after earlier declines as U.S. stock indexes turn lower	http://feeds.marketwatch.com/~r/marketwatch/realtimeheadlines/~3/6MBMzjB2tP0/quotes.asp	5	50	US	Marketwatch	positive_surprise	medium	"[[""declines""]]"	[[]]	"[[""declines""],[""gold""]]"	"[[""move up""]]"	no_other_additional_emotions_are_expressed	no_i_did_not_feel_any_emotion
84687349	Greta Gerwig and Noah Baumbach Welcome Their First Child	http://time.com/5556073/greta-gerwig-baby/	-1	43	US	Time	negative_surprise	medium	"[[""welcome their first child""]]"	"[[""greta gerwig"",""greta gerwig and noah baumbach""]]"	"[[""welcome their first child""]]"	"[[""welcome their first child""]]"	no_other_additional_emotions_are_expressed	no_i_did_not_feel_any_emotion
f57c837b	He donated his mother's body for Alzheimer's research — but it was sold to US Army, 'strapped in a chair,' and used for blast testing	http://channels.feeddigest.com/news?id=8442684285	27	8	US	TheBlaze	anger	medium	"[[""but it was sold to us army, 'strapped in a chair,' and used for blast testing""]]"	[[]]	[[]]	[[]]	annoyance	annoyance
b0fb9dc7	Head of Program Profiling Muslims in Chicago Steps Down Amid Pressure	https://truthout.org/articles/head-of-program-profiling-muslims-in-chicago-steps-down-amid-pressure/	-24	36	US	Truthout	negative_surprise	medium	"[[""head of program profiling muslims in chicago steps down amid pressure""]]"	[[]]	[[]]	"[[""profiling muslims; amid pressure""]]"	annoyance	annoyance
ab2b3c0a	Heartbreak anew after 2 Parkland teens, Sandy Hook father dead from apparent suicides	http://channels.feeddigest.com/news?id=8350071067	27	8	US	TheBlaze	annoyance	medium	"[[""sandy hook father dead from apparent suicides""]]"	[[]]	"[[""father dead from apparent suicides""],[""sandy hook""]]"	"[[""heartbreak""]]"	annoyance	no_i_did_not_feel_any_emotion
cd7f3c06	Hero Dogs Save Owner Who Was Being Attacked By Two Armed Men	https://www.sunnyskyz.com/good-news/3342/Hero-Dogs-Save-Owner-Who-Was-Being-Attacked-By-Two-Armed-Men			UK	Positivenews	pride	medium	"[[""by two armed men""]]"	"[[""hero dogs""]]"	"[[""two armed men""]]"	"[[""attacked""]]"	no_other_additional_emotions_are_expressed	no_i_did_not_feel_any_emotion
85873142	Hmmm: New Dem primary poll shows Warren passing Bernie Sanders for second place	https://hotair.com/archives/2019/06/12/hmmm-new-dem-primary-poll-shows-warren-passing-bernie-sanders-second-place/			US	HotAir	positive_anticipation_including_optimism	medium	"[[""new dem primary poll shows warren passing bernie sanders for second place""]]"	[[]]	"[[""poll shows""]]"	"[[""passing""]]"	positive_anticipation_including_optimism	shame
f89251ff	Holiday Inn owner to ditch mini toiletries from 5,000 hotels	https://www.theguardian.com/business/2019/jul/30/holiday-inn-owner-intercontinental-hotels-group-mini-toiletries-plastic-waste	-6	48	UK	TheGuardian	negative_surprise	medium	"[[""ditch mini toiletries from 5,000 hotels""]]"	[[]]	"[[""to ditch mini toiletries from""]]"	"[[""ditch""]]"	no_other_additional_emotions_are_expressed	no_i_did_not_feel_any_emotion
f5c8985d	Holy Guacamole! Avocado Growers Say U.S. Will Run Out Of Avocados In Three WEEKS If Trump Seals Border	https://www.dailywire.com/news/45386/holy-guacamole-avocado-growers-say-us-will-run-out-emily-zanotti	28	16	US	dailywire	negative_anticipation_including_pessimism	medium	"[[""u.s. will run out of avocados in three weeks if trump seals border""]]"	[[]]	"[[""u.s. will run out of avocados in three weeks if trump seals border""]]"	"[[""holy guacamole!""]]"	no_other_additional_emotions_are_expressed	no_i_did_not_feel_any_emotion
ae1e09c5	House Conservatives Form New ‘Anti-Socialism Caucus’	https://www.dailywire.com/news/45752/house-conservatives-form-new-anti-socialism-caucus-josh-hammer	28	16	US	dailywire	negative_surprise	medium	"[[""new ‘anti-socialism caucus’""]]"	[[]]	"[[""new ‘anti-socialism caucus’"",""house conservatives""]]"	"[[""anti-socialism""]]"	no_other_additional_emotions_are_expressed	no_i_did_not_feel_any_emotion
3ceb87c4	House Democrats thread the needle on impeachment in hometown town halls	https://www.rollcall.com/news/congress/house-democrats-thread-needle-impeachment-hometown-town-halls			US	RollCall	anger	medium	"[[""impeachment in hometown town halls""]]"	"[[""house democrats""]]"	"[[""impeachment in hometown town halls""]]"	"[[""impeachment""]]"	no_other_additional_emotions_are_expressed	no_i_did_not_feel_any_emotion
d446e07f	House Panel Subpoenas Kellyanne Conway over ‘Egregious’ Ethics Violations	https://www.nationalreview.com/news/house-panel-subpoenas-kellyanne-conway-over-egregious-ethics-violations/	20	51	US	NationalReview	annoyance	medium	"[[""ethics violations""]]"	[[]]	"[[""ethics violations""]]"	"[[""violations""]]"	annoyance	annoyance
0c37a8be	House to probe rise in hate crimes since Trump was elected	https://www.rollcall.com/news/congress/lawmakers-to-probe-rise-of-hate-crimes-and-white-nationalism-in-u-s			US	RollCall	negative_surprise	medium	"[[""probe rise in hate crimes since trump was elected""]]"	"[[""house""]]"	"[[""trump""]]"	"[[""hate""]]"	no_other_additional_emotions_are_expressed	no_i_did_not_feel_any_emotion
3784205c	I Make $1,000 a Week Writing Essays for Lazy Students	https://www.vice.com/en_au/article/qv78bm/i-make-dollar1000-a-week-writing-essays-for-lazy-students	-10	42	UK-US	Vice	negative_surprise	medium	"[[""writing essays for lazy students""]]"	[[]]	"[[""lazy students""]]"	"[[""make""]]"	no_other_additional_emotions_are_expressed	no_i_did_not_feel_any_emotion
29b7df01	I Wore a Music-Activated Vibrator to the Club Instead of Doing Drugs	https://www.vice.com/en_au/article/evvadp/club-vibe-vibrator-nightclub-review	-10	42	UK-US	Vice	annoyance	medium	"[[""doing drugs""]]"	[[]]	[[]]	"[[""doing drugs""]]"	no_other_additional_emotions_are_expressed	no_i_did_not_feel_any_emotion
391edfcc	Ilhan Omar hopes her minions can help her punish ‘white nationalist’ Tucker Carlson for ‘hate speech’	https://twitchy.com/sarahd-313035/2019/07/10/ilhan-omar-hopes-her-minions-can-help-her-punish-white-nationalist-tucker-carlson-for-hate-speech/	29	14	US	Twitchy	annoyance	medium	[[]]	"[[""ilhan omar""]]"	[[]]	[[]]	annoyance	annoyance
ea4b72e1	Illegal immigrant, 33, is charged in the shooting death of 28-year-old Oklahoma mother-of-one	https://www.dailymail.co.uk/news/article-6846207/Illegal-immigrant-33-charged-shooting-death-28-year-old-Oklahoma-mother-one.html?ns_mchannel=rss&ns_campaign=1490&ito=1490	13	19	UK	dailymail	negative_surprise	medium	"[[""shooting death of 28-year-old""]]"	"[[""illegal immigrant""]]"	"[[""shooting death of 28-year-old""],[""oklahoma""]]"	"[[""charged""]]"	no_other_additional_emotions_are_expressed	no_i_did_not_feel_any_emotion
df779961	Immigrant children sent to Chicago shelters are traumatized and sick, sometimes with chicken pox or tuberculosis	https://www.alternet.org/2019/07/immigrant-children-sent-to-chicago-shelters-are-traumatized-and-sick-sometimes-with-chicken-pox-or-tuberculosis/	-23	18	US	Alternet	sadness	medium	"[[""sent to chicago shelters are traumatized and""]]"	[[]]	[[]]	"[[""traumatized and sick""]]"	no_other_additional_emotions_are_expressed	no_i_did_not_feel_any_emotion
3eef0dec	Immigrant soldiers are now being denied US citizenship at a higher rate than civilians	https://www.alternet.org/2019/05/immigrant-soldiers-are-now-being-denied-us-citizenship-at-a-higher-rate-than-civilians/	-23	18	US	Alternet	annoyance	medium	"[[""denied us citizenship at a higher rate than civilians""]]"	[[]]	"[[""denied us citizenship at a higher rate than civilians""]]"	"[[""denied""]]"	annoyance	annoyance
10018dfb	In 1 Chart, How Your Taxes Are Spent	https://www.dailysignal.com/2019/04/14/in-1-chart-how-your-taxes-are-spent/	-15	30	US	dailysignal	annoyance	medium	"[[""how your taxes are spent""]]"	[[]]	"[[""how your taxes are spent""]]"	"[[""spent""]]"	annoyance	annoyance
4d3978b1	In some countries, killer cops are celebrated	https://www.economist.com/international/2018/03/08/in-some-countries-killer-cops-are-celebrated	4	48	UK	Economist	annoyance	medium	[[]]	[[]]	[[]]	[[]]	annoyance	annoyance
250d1ff2	Indian election: Narendra Modi’s BJP tipped for victory	https://www.theweek.co.uk/101381/indian-election-narendra-modi-s-bjp-tipped-for-victory	-10	44	UK-US	TheWeek	positive_anticipation_including_optimism	medium	"[[""narendra modi’s bjp tipped for victory""]]"	"[[""narendra modi’s bjp""]]"	[[]]	"[[""victory""]]"	no_other_additional_emotions_are_expressed	no_i_did_not_feel_any_emotion
c4e45761	Indian farmers shocked as suspected meteorite crashes into rice field	https://www.theguardian.com/science/2019/jul/25/indian-farmers-shocked-as-suspected-meteorite-crashes-into-rice-field	-6	48	UK	TheGuardian	negative_surprise	medium	"[[""suspected meteorite crashes into rice field""]]"	"[[""indian farmers""]]"	"[[""meteorite""]]"	"[[""shocked""]]"	no_other_additional_emotions_are_expressed	no_i_did_not_feel_any_emotion
63b32cd1	Indigenous Tribe Wins Legal Battle Against Oil Companies, Preventing Drilling In The Rainforest	https://www.sunnyskyz.com/good-news/3320/Indigenous-Tribe-Wins-Legal-Battle-Against-Oil-Companies-Preventing-Drilling-In-The-Rainforest			UK	Positivenews	positive_surprise	medium	"[[""against oil companies, preventing drilling in the rainforest""]]"	"[[""indigenous tribe""]]"	"[[""against oil companies, preventing drilling in the rainforest""]]"	"[[""wins legal battle""]]"	no_other_additional_emotions_are_expressed	no_i_did_not_feel_any_emotion
50241b92	Iowa Farmers Send Relief To Nebraska Flood Victims	https://www.sunnyskyz.com/good-news/3260/Iowa-Farmers-Send-Relief-To-Nebraska-Flood-Victims			UK	Positivenews	positive_surprise	medium	"[[""nebraska flood victims""]]"	"[[""iowa farmers""]]"	"[[""nebraska flood victims""]]"	"[[""send relief""]]"	annoyance	annoyance
d47fa9e8	Iran Says US Cyber Attacks Failed, Hints at Possible Talks	https://www.infowars.com/iran-says-us-cyber-attacks-failed-hints-at-possible-talks/	44	1	US	InfoWars	negative_surprise	medium	"[[""US Cyber Attacks Failed""]]"	"[[""iran""]]"	"[[""us""]]"	"[[""attacks""]]"	no_other_additional_emotions_are_expressed	no_i_did_not_feel_any_emotion
c4c60482	Iran fails in attempt to ‘impede’ British oil tanker	https://www.theweek.co.uk/102211/iran-fails-in-attempt-to-impede-british-oil-tanker	-10	44	UK-US	TheWeek	negative_surprise	medium	"[[""iran fails in attempt to ‘impede’ british oil tanker""]]"	"[[""iran""]]"	"[[""british oil tanker""]]"	"[[""fails in attempt""]]"	annoyance	annoyance
cf2ff5e5	It Will Cost $600,000 To Cover Up George Washington Mural That 'Traumatized' San Fran High School Students	https://www.dailywire.com/news/48676/report-it-will-cost-600000-cover-george-washington-emily-zanotti	28	16	US	dailywire	negative_surprise	medium	"[[""san fran high school students""]]"	[[]]	"[[""san fran high school students""]]"	"[[""cover""]]"	annoyance	annoyance
f702b216	It’s the End of the World as They Know It	http://feedproxy.google.com/~r/motherjones/feed/~3/wCLkgUYYHEQ/	-24	40	US	MotherJones	sadness	medium	"[[""it’s the end of the world as they know it""]]"	[[]]	"[[""it’s the end of the world as they know it""]]"	"[[""end of the world""]]"	no_other_additional_emotions_are_expressed	sadness
4c01f1c3	Jacinda Ardern Has Rewritten the Script for How a Nation Grieves After a Terrorist Attack	https://www.newyorker.com/news/our-columnists/jacinda-ardern-has-rewritten-the-script-for-how-a-nation-grieves-after-a-terrorist-attack	-9	47	US	TheNewYorker	sadness	medium	"[[""how a nation grieves after a terrorist""]]"	[[]]	"[[""how a nation grieves after a terrorist""]]"	"[[""grieves""]]"	annoyance	annoyance
5cdb5d7b	Japan Goes Back To Hunting Whales For First Time In 31 Years	https://dailycaller.com/2019/07/01/japan-whale-hunting/	24	12	US	dailycaller	negative_surprise	medium	[[]]	[[]]	"[[""japan""]]"	"[[""hunting""]]"	annoyance	annoyance
5e3b3b56	Jeopardy Wasn’t Designed for a Contestant Like James Holzhauer	http://feedproxy.google.com/~r/TheAtlantic/~3/R4mIcedfbIU/	-15	46	US	TheAtlantic	annoyance	medium	[[]]	[[]]	[[]]	[[]]	annoyance	annoyance
f1a2525c	Jimmy Carter: Trump ‘Didn’t Actually Win the Election’	https://freebeacon.com/politics/jimmy-carter-trump-didnt-actually-win-the-election/	24	41	US	FreeBacon	negative_surprise	medium	"[[""trump ‘didn’t actually win the election’""]]"	"[[""jimmy carter""]]"	"[[""trump ‘didn’t actually win the election’""]]"	"[[""actually""]]"	no_other_additional_emotions_are_expressed	no_i_did_not_feel_any_emotion
feca32b4	Joe Biden Is the Democrats’ Safety School	https://newrepublic.com/article/153936/joe-biden-democrats-safety-school	-19	46	UK	TNR	pride	medium	"[[""is the democrats’ safety school""]]"	"[[""joe biden""]]"	"[[""is the democrats’ safety school""]]"	"[[""safety""]]"	no_other_additional_emotions_are_expressed	no_i_did_not_feel_any_emotion
d52fede9	Journalist, 29, Shot Dead In Northern Ireland In 'Terrorist Incident’	https://www.huffpost.com/entry/journalist-northern-ireland-lyra-mckee-killed-terrorist-incident_n_5cb98c61e4b06605e3ed762a	-20	24	US	HuffPost	fear	medium	"[[""in northern ireland in 'terrorist incident’""]]"	"[[""journalist, 29""]]"	"[[""in northern ireland in 'terrorist incident’""]]"	"[[""dead""]]"	no_other_additional_emotions_are_expressed	no_i_did_not_feel_any_emotion
41d418bd	Judicial Watch Sues For Documents Potentially Showing FBI Ignored Evidence That Chinese Hacked Hillary Clinton’s Private Server	https://www.thegatewaypundit.com/2019/03/judicial-watch-sues-for-documents-potentially-showing-fbi-ignored-evidence-that-chinese-hacked-hillary-clintons-private-server/	35	12	US	TheGatewayPundit	annoyance	medium	[[]]	[[]]	[[]]	[[]]	annoyance	annoyance
24003b93	Justin Amash faces intense blowback after Trump impeachment claims — then Trump hits back	http://channels.feeddigest.com/news?id=8388108746	27	8	US	TheBlaze	negative_anticipation_including_pessimism	medium	"[[""trump impeachment claims — then trump hits back""]]"	"[[""justin amash""]]"	"[[""trump""]]"	"[[""blowback""]]"	no_other_additional_emotions_are_expressed	no_i_did_not_feel_any_emotion
4a16fa66	Kamala Harris Campaign Insists ‘She’s Been Very Clear’ on Health Care	https://freebeacon.com/politics/kamala-harris-campaign-insists-shes-been-very-clear-on-health-care/	24	41	US	FreeBacon	positive_surprise	medium	"[[""‘she’s been very clear’ on health care""]]"	"[[""kamala harris""]]"	"[[""health care""]]"	"[[""health care""]]"	no_other_additional_emotions_are_expressed	no_i_did_not_feel_any_emotion
