,domain,avg_score,sentence,group
88,blog,0.4,"Fox News' Colby aggressively pushes ""so-called death panels"" smear",train
89,news,1.8,Mr. Ramesh said 70 percent of India's iron ore lay in states infiltrated by Maoists; production in this area is stalled at 16 million tons a year even though the area has the potential to produce 100 million tons.,train
90,blog,-0.4,The missing part of the puzzle is what made media conglomerates such juggernauts in the past.,train
91,answers,-3.0,take a fork and stick it at da ends.,train
92,news,1.8,"But, our correspondent says, the hour-long speech contained no clue to the answer of the biggest question dominating the Egyptian political scene - who will succeed Mr Mubarak in office?",train
93,news,-0.4,"But the latest and greatest clue didn't come from police, prosecutors or investigators, but a hairdresser.",train
94,answers,-2.2,no!if you wana chat about it then leave me a cmment http://www.bebo.com/Profile.jsp?MID=367137231&MemberId=2224798592,train
95,answers,0.0,That was so exciting and so overrated at the same time.,train
96,answers,0.8,Why do we have all those painful feelings?,train
97,answers,0.0,This war is an example.,train
98,answers,1.8,"Therefore it contains words like Tarrarrattat that are considered ""nonce words"".",train
99,blog,1.8,"19The 327-foot-tall Ares I-X test rocket moves slowly to launch pad 39B from the Vehicle Assembly Building at the Kennedy Space Center in Cape Canaveral, Fla., Tuesday, Oct. 20, 2009.",train
100,blog,-0.4,We also did some digging to see if people were taking inspiration from the movie Where the Wild Things Are and wearing a [max costume] this year.,train
101,answers,-1.6,(forgot what program though)... they were making tempura shrimps.,train
102,news,0.4,"She said she is ""hoping and praying"" her son and the others will be found alive.",train
103,answers,-1.2,Just be there for her when she needs you.,train
104,news,0.6,"But the bottom line for Massachusetts is hard to quantify because the state has developed its system through a special arrangement with the federal government, known as a Medicaid ""waiver,"" outside of the regular Medicaid rules.",train
105,answers,-1.4,"Honestly, that's the worst.",train
106,news,0.2,Some of the 215 detainees are expected to be released.,train
107,answers,0.6,Much higher quality wood.,train
108,blog,1.6,Mobile ad firm AdMob has revealed the dramatic changes the mobile industry has seen in their latest Mobile Metrics Report.,train
109,news,0.2,Two analysts said ValueAct's ongoing communication with investors about the Yee case and the fact that the SEC has not implicated the firm in any way will likely calm clients' nerves and prevent them from pulling money out hastily.,train
110,news,0.6,"Born between 1978 and the turn of this century, millennials are not worked up over the culture wars that have raged since the Reagan era.",train
111,email,2.2,"There are two reasons for this: (1) I hope that you would never wish to replace me under these circumstances with someone who opposed my work while I held office and (2) I know that you care as much as I do about continuing our work with the state on water quality and other issues, priorities not shared by all of the emerging field, You may reach me at any time via cell phone at 305-393-1666 if you need to discuss.",train
112,answers,0.8,"But it's interesting information, nonetheless.",train
113,blog,0.4,"The spectacular flameout of the Scozzafava campaign, with the GOP rank-and-file providing both the torches and the fuel, inspires this observation:",train
114,answers,-0.6,I'm in the process of shipping my dog from Italy to the US.,train
115,answers,-2.25,(a) Stun Gun.,train
116,answers,0.0,Eau de Toilette Spray from Fredericks of Hollywood,train
117,answers,1.4,Good luck to you and your friend!,train
118,blog,0.6,"For similar offers on the remainder of Apple's Mac product line, please see our full-fledged Mac Price Guide.",train
119,answers,-0.8,you won't like the job if you are not interested in it.,train
120,answers,-1.6,- Chad p.s. - You don't know what a cat is?,train
121,news,1.2,It emerged last night that Miliband has held secret talks with senior politicians in Brussels about running for the job.,train
122,answers,2.0,The Respiratory System is involved with Breathing.,train
123,answers,2.4,Greenland is a dependant territory of Denmark.,train
124,answers,0.6,Contact your county election board.,train
125,news,-0.8,"""So people are making efforts on their own but the situation is such that individuals cannot handle alone.""",train
126,answers,-1.6,I still live with my mom and I'm 23... Why not?,train
127,answers,-1.6,They make air travel affordable for the average schmo.,train
128,news,1.6,"Arreola finished in about 38 minutes, half as fast as his typical time of 19 minutes.",train
129,email,0.0,A pesar de todo a sido buena la visita aunque es muy dificil no estar con Milton y Lucy.,train
130,blog,-0.2,"This time, it may stick.",train
131,answers,-1.8,"depents where your from, usa, europe, japan, china?",train
132,answers,-0.8,Damaged drain tiles?,train
133,answers,-1.6,I would see if someone is piggy backing on my internet signal RJ,train
134,news,1.4,"""They surrounded us from every side,"" said Ajay Bhushari, 31, who survived the ambush and is now the commanding officer in Laheri.",train
135,news,1.6,"U.S. Secretary of State Hillary Rodham Clinton said Saturday that Israel is making ""unprecedented"" concessions on West Bank settlement construction - a position clearly at odds with the prevailing Palestinian view.",train
136,news,2.0,"By Saturday afternoon, the Coast Guard had deployed 22 vessels, one helicopter and teams of wildlife crews to assess damage along San Francisco and Alameda shorelines.",train
137,answers,-1.8,clear our mind.,train
138,answers,1.6,It was an extremely hostile takeover.,train
139,blog,1.2,1.) The European Union strikes a climate financing deal.,train
140,answers,-1.6,Depends where you live.,train
141,email,-1.25,"Originally from Augusta, I follow the news there.",train
142,answers,1.2,Check with your doctor before starting any weight loss program.,train
143,email,1.6,"Our goal is STOP this tragic homeless pet euthanasia rate in Florida, not to just throw money at the problem, by sending money to government animal control agencies in a cycle of ineffectiveness.",train
144,blog,1.0,"For example, Senator Lamar Alexander, R-Tenn., a long-time nuclear supporter, decried ""energy sprawl"" in a Wall Street Journal editorial last month.",train
145,answers,-0.666666666667,Katana Hyru: 16 chest key in lady greys bedroom.,train
146,answers,-2.4,Why can't you just BE???,train
147,news,0.2,Some critics claim it can be difficult to see where Mr Blair's political work ends and his commercial endeavours begin.,train
148,answers,1.6,"God created the universe, and mankind as the pinnacle of his creation.",train
149,blog,0.4,"The music industry, as the one that has suffered most of the carnage, is ripest for change.",train
150,news,-0.4,But money was never the point to O'Quinn.,train
151,blog,0.0,"When it comes to holidays, Halloween is one of our favorites.",train
152,email,-0.75,">> Kathleen, >>",train
153,news,-1.2,The main message the candidates need to send is simply: Please vote.,train
154,blog,-0.2,No government program results in savings.,train
155,email,2.0,What we are describing here in brief has become FBI File # 282-0.,train
156,answers,-2.0,Dana Scully - X - files -,train
157,blog,0.2,Here are three reasons why we think investment in this sector has been slow so far.,train
158,answers,-1.6,get shot or stabbed?,train
159,answers,-1.6,get him to the ER whatever it takes.,train
160,news,1.0,Burma is still holding hundreds of political prisoners.,train
161,email,1.4,"Ironically and wonderfully, developers are helping to save our lands.",train
162,answers,0.6,She battled Hodgkin's disease for most of her adult life.,train
163,answers,-1.0,"- ""What are my abilities?""",train
164,answers,-2.4,com) if you don't have these stores near you.,train
165,news,-1.8,The trip is quicker on water.,train
166,answers,-0.4,The first challenge is to do a tabletop (square) off the kicker.,train
167,blog,-0.6,"If we've missed anything huge, or you've got a much better suggestion for a particular type of app, let us know, or say so in the comments.",train
168,answers,-2.2,You just set it.,train
169,news,0.8,"The jobs report on Nov. 6 may also show factory employment dropped by 46,000 workers last month compared with a 51,000 decrease in September.",train
170,answers,-1.6,So no evolution is not correct.,train
171,answers,-0.25,"Updated 5/05 [M 60] Yes, I believe it is.",train
172,news,0.4,"""Some of the folks who I have known probably would say: Because this is a short appointment, don't let too many days go by before you contribute what we know you can contribute,"" Kirk said.",train
173,blog,1.4,"28NASA's new Ares 1-X test vehicle goes through first stage/upper stage simulator seperation about two minutes after launch Kennedy Space Center's launch pad 39-B in Florida on October 28, 2009.",train
174,answers,0.0,There is no Skate Ranch piece for this goal.,train
175,answers,-1.0,I think I've seen a compilation of the Diablo games at Walmart.,train
176,email,0.2,Tim is also a candidate for an appointment as Leon county judge.,train
177,answers,0.2,You could easily walk one 20 minute session and do the DVD the other.,train
178,email,1.8,"Just to give you a brief update on my vocational job opportunity conversations with Brian Yablonski, ""they are at ground zero."" No productive conversations have taken place that would warrant my feeling that I would be offered anything significantly rewarding and professionally enhancing.",train
179,news,1.4,Cuyahoga County Coroner Frank Miller identified two bodies as black females and said one had died of a violent death ruled a homicide.,train
180,answers,-1.0,I'd keep it and show it at car shows.,train
181,answers,-1.2,"I got a free iPod from this site, I highly recommend it!",train
182,answers,-1.0,go to your old high school and ask about it.,train
183,blog,0.2,"Along with comparison shopping and making a simple price book, one of the often overlooked uses for ubiquitous capture - but one I use all the time - is using your notebook to capture gift ideas.",train
184,news,1.6,Elders in the coastal area said the pirates might have been worried that they were vulnerable to attack if they continued to keep the Chandlers aboard the hijacked freighter bobbing off Xarardheere.,train
185,email,2.2,The vote in both Houses was near unanimous in favor of reauthorization.,train
186,answers,-0.4,We just sent 3 to jail for the rest of their life.,train
187,email,1.6,"Originally from Texas, I worked for 21 years for Southwest Research Institute in San Antonio, where I was in charge of international programs.",train
188,email,2.6,"This appropriation provides $2,414,000 for Learning Gateway grants and the operation of the statewide Learning Gateway Steering Committee and $200,000 for development of a Learning Gateway teacher curriculum.",train
189,answers,0.4,Remember to keep your foot size in mind when buying a board.,train
190,news,0.0,That simplistic kind of presentation of youth on TV has shown its limits over the decades; easy-to-read stereotypes no longer seem credible.,train
191,email,-1.75,Please tell me he is wrong.,train
192,answers,-3.0,west indies for sure would win!!!,train
193,answers,-0.4,"At the end of the pipe, jump and fly towards the USGA $sign.",train
194,blog,0.0,The App Store is where the action is.,train
195,blog,-1.4,"So, he's making a living wage, but not raking it in, which is to be expected (and is certainly a hell of a lot better than many musicians).",train
196,answers,0.6,She way funnier and really smart.,train
197,blog,1.2,"On the downside, we've found a few moments where the DROID seems to bog down.",train
198,blog,-2.4,Also on Facebook here.,train
199,blog,1.8,"A new book by Robert and Brenda Vale, two architects at Victoria University of Wellington in New Zealand, looked into the ecological foodprints of the world's pets, New Scientist reported.",train
200,answers,0.2,Grease cookie sheets.,train
201,news,0.8,"Those conflicts, including a widening armed rebellion in the north and a violent separatist movement in the south, in turn make it more difficult to address the water crisis in an organized way.",train
202,answers,1.8,A cat that is good at hunting rodents is referred to as a mouser.,train
203,answers,-2.2,"Do some serpentines, figure eights - not lazy 8's!",train
204,answers,-1.4,try a good homyopath if possible.,train
205,news,-0.2,"How she scares people: ""We're just here to ... spin fire.""",train
206,news,-0.4,They try to stay near shore but often have to venture out into the open river where the currents are stronger.,train
207,news,1.0,"Robert Hughes ran for 131 yards on 24 carries and had a touchdown, delighting a Texas crowd that was overwhelmingly filled with Fighting Irish fans.",train
208,blog,0.4,"The Republican nominee, Assemblywoman Dede Scozzafava, is in third place in many polls, having largely been abandoned by national Republican figures.",train
209,answers,-1.8,"They didn't register, that means they would like cash!",train
210,news,1.4,"That total would include direct cash donations as well as in-kind donations such as the value of printing, postage and staff time.",train
211,answers,-2.4,did you notice how they each have their own thing going?,train
212,answers,-2.6,politics screw everyone!!!,train
213,answers,-1.6,what is Mugen?,train
214,answers,-2.8,Now you're forced to chase his ass down and take whats rightfully yours.,train
215,answers,0.0,We actually do the microchipping also when they are there for spay/neuter.,train
216,blog,-1.0,"The coming confusion of the consumption experience where a user won't care or know if what they are buying is a movie, a game or a music track presents vast opportunity.",train
217,news,1.8,Ashcroft denies he now has any interest in Telemedia but his claims are rejected by the Belizean government.,train
218,answers,-1.0,but reduce it and get exercise.,train
219,answers,-2.0,i thought they were going to kill me.,train
220,answers,-2.6,ares actually free and there is no charge at all.,train
221,answers,-1.6,"Absolutely - my mother's been ""Santa"" my whole life!!!",train
222,blog,1.0,"Senator Richard Lugar, the ranking Republican on the Senate Foreign Relations Committee, is the guest on C-Span's ""Newsmakers.""",train
223,answers,0.6,Starting a small business takes a lot of courage.,train
224,blog,-0.8,[RSS MP3] Add the Engadget Podcast feed (in MP3) to your RSS aggregator and have the show delivered automatically.,train
225,news,-0.6,"""It was a bit of a shock to see everyone lying there - there was a lot of screaming,"" he said.",train
226,answers,-1.0,you need to take the cat to a vet.,train
227,answers,-1.4,I play tennis with one occasionally.,train
228,news,0.2,His quiet street is lined with neat gardens.,train
229,email,2.2,"State Sen. Jack Scott, a Democrat and the chairman of the education subcommittee of the Budget and Fiscal Review Committee, has promised to try to help mitigate the cuts.",train
230,answers,-1.2,"This is what I feel, then upto you.",train
231,answers,0.0,Check out http://www.ind.homeoffice.gov.uk/applying/generalcaseworking/students http://workingintheuk.gov.uk/working_in_the_uk/en/homepage.html?,train
232,answers,1.0,Hold the left analog stick in a direction and press CIRCLE.,train
233,answers,-1.2,You probably want to google it or read on WebMd.,train
234,news,1.4,A spokesman refused to elaborate on his views.,train
235,news,0.2,"It's a longer, far more interesting story.",train
236,blog,0.6,"Although this race is probably closer to a toss-up than advantage Castle, it still seems to feature the cleanest path for an opposition party takeover than any of the alternatives.",train
237,blog,-0.8,These two facts grate on feminists.,train
238,blog,-1.4,I still know more than what's out there.,train
239,email,0.75,"From my standpoint, I would be prepared to do this anytime after the Jury meeting on July 23 - just let me know what works for you.",train
240,news,1.0,"On Saturday, district officials confirmed plans to install higher fences around the entire school before next summer, and to firm up security in general - but the challenges will still be steep.",train
241,answers,-0.4,Test the Internet Bring up internet explorder and test your Internet connection.,train
242,email,0.8,so I write you again in a hope that you can reply to me.,train
243,answers,-2.8,do he take medication?????,train
244,answers,-0.8,"For older versions of windows, get TweakUI.",train
245,email,0.75,Osceola County needs an outreach.,train
246,news,1.4,The Treasury says Chancellor Alistair Darling has not made a final decision on which parts of which banks are to be sold off.,train
247,blog,-0.2,"If 100% of the value is in that file, it is not a sound approach for defending the future of your business.",train
248,news,0.6,"The situation in Ukraine ""has reached the epidemic threshold,"" Ms. Tymoshenko said.",train
249,answers,-1.0,don't treat them as if they are criminals.,train
250,news,1.6,"A senior aide to David Miliband, favourite to succeed Gordon Brown as Labour leader, turned down the job, saying his loyalty was to the Foreign Secretary.",train
251,news,-0.4,Sowell had become the subject of a major manhunt after the gruesome discovery of half a dozen corpses at his house in a poor neighbourhood that has struggled with crime and drug problems.,train
252,blog,0.6,"Bank of America (BAC) did that earlier this decade, and as a result, outgoing CEO Ken Lewis (and other top executives) doesn't have an employment contract.",train
253,answers,1.75,Detailed instructions are posted at http://fixit.in/systemrestore.html The problem is likely to be solved.,train
254,answers,-0.4,You will need a pencil and paper.,train
255,news,1.0,"The Afghan said a boycott was certain, and that Abdullah would likely tell his supporters to simply stay home during the vote.",train
256,news,2.0,India's rapid economic growth has made it an emerging global power but also deepened stark inequalities in society.,train
257,answers,-1.2,* Ah -- I forgot your name.,train
258,answers,-0.8,As If Doing Something (AIDS) syndrome.,train
259,blog,-1.0,"The 3% discount is reflected as ""Instant Discount(s)"" during checkout at ClubMac, after the items have been placed in your shopping cart.",train
260,answers,-2.0,That's something that most people don't realize.,train
261,news,-0.8,"""I thought it was an earthquake,"" he said.",train
262,news,2.2,"CIT Group Inc., the 101-year-old commercial lender seeking to avoid collapse, may file for a prepackaged bankruptcy as soon as this weekend after striking deals with billionaire Carl Icahn and Goldman Sachs Group Inc.",train
263,news,1.6,"In response, Scozzafava spokesperson Matt Burns last week characterized Hoffman's supporters as carpetbaggers: ""Everybody who has endorsed Doug Hoffman has something in common with him, and that is that none of them live in the district.""",train
264,answers,1.0,Cut into little squares and pour into a bowl.,train
265,answers,-0.6,The size does not matter!,train
266,blog,0.8,"Nancy Pelosi, one of the least effective negotiators and a woman who alienates her own, delegitimitized herself at her swearing-in by surrounding herself with her grandkids - emphasizing her womanhood over her accomplishment.",train
267,blog,-0.6,"They're not buying an album, raving about it, and losing interest after a few months, they're constantly spreading my name to their Twitter followers, coworkers, pets, etc.",train
268,answers,-1.6,You ask him if he likes you.,train
269,email,-2.2,None too soon!,train
270,answers,-0.8,"There's an old saying: ""Big things come in small packages"".",train
271,news,0.8,"""An agreement is the way out,"" Shannon told the Hondurans, according to a senior Obama administration official.",train
272,email,1.5,"First let me say my wife and I are Bush supporters and hope that you are successful with all your endeavors, especially dealing with the problems your daughter is experiencing.",train
273,answers,-0.6,Its a catch 22 question.,train
274,email,0.0,Le comente a Miltin que su resume estaba muy simple.,train
275,news,1.4,"""This is the first time that somebody in the high ranks told the inside story of the Chinese sports world,"" said Xu Jicheng, a prominent basketball commentator who was deputy director of media operations for Beijing Olympics organizing committee.",train
276,blog,-1.2,"(I include this because I'm doing a website for a friend... it's something I choose to do, but it is part of my income this year.)",train
277,answers,-0.6,Mary was the mother of JESUS the Son of THE MOST HIGH.,train
278,news,1.0,"In the political tempest that followed last year's displays by Wesselius and Gaylor's group, a circus atmosphere developed, and one Fox News television commentator spurred thousands of calls to the office of Gov. Chris Gregoire to protest the atheists' sign.",train
279,answers,-1.2,Sorry that happened.,train
280,news,0.8,"Speaking at a joint press conference with Israeli Prime Minister Benjamin Netanyahu on Saturday, Clinton said Israel is putting significant limits on settlement activity.",train
281,answers,-1.0,"Pets: George, Maggie Mae, SallyPeanut, Gidget, Woody, Emily",train
282,answers,-2.2,I don't know what you're talking about.,train
283,email,-2.0,"No me imagino como se sentiran los padres que tienen que poner a sus hijos en ""group homes"" o instituciones.",train
284,answers,2.2,Do these plans have waiting periods or exclusions?,train
285,answers,-1.5,"and remember, ALWAYS ALWAYS use condoms.",train
286,answers,0.4,I'm from Norway as well.,train
287,blog,2.0,"For extraordinary heroism, distinguished service, and conspicuous gallantry above and beyond the call of duty as commander of Motor Torpedo Boat Squadron 3, in Philippine waters during the period 7 December 1941 to 10 April 1942.",train
288,blog,0.0,"In the federal indictment, Mr. Moffat was accused of passing along sensitive company information about I.B.M.'s earnings and the plans of a chip-making partner, Advanced Micro Devices, to a hedge fund broker.",train
289,news,0.0,"""We will match whatever they do,"" she said.",train
290,news,1.6,"United Auto Workers and Ford leaders have conceded the contract changes were defeated, said the people, who asked not to be identified disclosing results before they are announced tomorrow.",train
291,news,0.8,"But Chuck took the ambiguity to a new level after Blair manipulated him into kissing a guy, which he did with ease.",train
292,answers,-0.8,It seems like a spyware/adware.,train
293,answers,1.0,You need your lawyer to go back and petition the court.,train
294,email,2.4,We will send a formal request to your scheduling office.,train
295,answers,1.8,The Beatles were a highly influential English rock and roll band from Liverpool.,train
296,answers,0.0,It was much cheaper than a meal.,train
297,answers,1.0,"Secondly, why are you trying to turn spirituality into a racial controversy?",train
298,answers,-2.33333333333,.2... 3....,train
299,email,1.0,We presented several issues.,train
300,news,0.4,"He said he had been consistently warning Pakistan against meddling in India's affairs but if they continued to do so, ""we will deal with them strongly"".",train
301,news,0.6,"""If it was Rose, he was really up. [Now] he's just been up. And he's been that through practices . . . He's just playing now. He's not, 'Oh, tonight we have Rose.' It doesn't matter the opponent. He's just playing his game and doing it, being very solid.""",train
302,answers,0.2,Anyone calling it St. Jean Baptiste Day will be given a stern talking - to.,train
303,answers,-0.2,Water is clear.,train
304,answers,-0.2,They can help you out on this.,train
305,news,0.6,"The overruling of aircraft safety warnings by the Ministry of Defence resulted in the deaths of six British servicemen in a helicopter crash, a senior official has revealed.",train
306,answers,1.0,I'm afraid my sympathy waned when they reelected Nagin.,train
307,news,1.6,"Clinton said the offer that the Israeli government is making on settlements is ""unprecedented.""",train
308,email,1.8,Rhonda Calhoun has sent all the information to your scheduling team.,train
309,answers,0.6,"In the old days, what you said would be true.",train
310,news,0.4,"ValueAct, a nine-year-old firm that invests roughly $3.5 billion in undervalued securities, said it has been cooperating with the SEC since the agency began probing Yee in 2008.",train
311,answers,1.4,"Today, there is still room for improvement.",train
312,email,-1.2,I just want to say,train
313,answers,0.4,I just want someone capable of doing the job better than most.,train
314,answers,1.8,Instructors are responsible for establishing and publishing the grading scale applicable to their courses.,train
315,blog,0.8,Maybe it will take another generation for the novelty of women in power to wear off so that women can be looked at for the content of their character and their achievement.,train
316,answers,-1.2,# Chuck Norris was what Willis was talkin 'about.,train
317,answers,0.8,It can take until 9 months before they can actually hold it.,train
318,email,0.25,"No parent should have to go throughout the embarrassment of having to ""beg"".",train
319,news,0.8,"Icahn Associates Corp. is the largest shareholder of American Railcar Industries Inc., which depended on CIT for 31 percent of its business as of June 30, according to data compiled by Bloomberg.",train
320,answers,0.0,Also run HijackThis and submit a log to one of the major antispyware communities,train
321,answers,-2.4,"Us grey people don't know the purpose of life, like most humans.",train
322,blog,1.8,"The very same GOP old hands opted for insider Jim Tedisco over Betty Little in that race and Tedisco got beaten, hindsight suggested Little would have won hands down.",train
323,answers,0.0,Being washed in the spirit is necessary... John baptized with water.,train
324,news,1.6,"One river in Laguna overflowed, flooding most of lakeside Santa Cruz town and sending residents clambering onto roofs, said Mayor Ariel Magcalas.",train
325,answers,-0.4,Nick B: I think you are really onto something here!,train
326,email,2.0,"""There's an availability of interesting locations there that haven't been overshot the way some places in Toronto and Vancouver have,"" says Disney executive vp production Jason Reed, who oversaw ""Mr. 3000"" for the studio.",train
327,news,-0.2,The median estimate of 10 economists surveyed by Bloomberg News was for an 11.8 percent decrease.,train
328,blog,1.4,"Liberal pundits continue to ridicule Sarah Palin's colorful but accurate term ""death panels,"" but government control, cost-cutting and Medicare penalties against docs who provide ""too much"" care will lead to bureaucrats literally deciding who lives and who dies.",train
